n,dist,run,millis,comparisons,swaps,reads,writes,peakBytes
10000,dups,1,6,219126,105483,669218,230966,40016
10000,dups,2,1,220269,106209,672956,232418,40016
10000,dups,3,1,219533,105794,670654,231588,40016
10000,dups,4,1,219474,105692,670332,231384,40016
10000,dups,5,1,220237,106190,672854,232380,40016
10000,nearly-sorted,1,9,239288,119484,737544,258968,40016
10000,nearly-sorted,2,1,239755,119995,739500,259990,40016
10000,nearly-sorted,3,1,239335,119519,737708,259038,40016
10000,nearly-sorted,4,1,239352,119553,737810,259106,40016
10000,nearly-sorted,5,0,239516,119752,738536,259504,40016
100,random,1,0,1056,530,3372,1260,416
100,random,2,0,1086,554,3480,1308,416
100,random,3,0,1057,523,3360,1246,416
100,random,4,0,1071,534,3410,1268,416
100,random,5,0,1054,523,3354,1246,416
1000,random,1,1,17176,8519,53390,19038,4016
1000,random,2,0,17312,8683,53990,19366,4016
1000,random,3,0,17304,8655,53918,19310,4016
1000,random,4,0,17182,8543,53450,19086,4016
1000,random,5,0,17234,8603,53674,19206,4016
10000,random,1,6,239228,119425,737306,258850,40016
10000,random,2,1,239660,119831,738982,259662,40016
10000,random,3,1,239326,119518,737688,259036,40016
10000,random,4,1,239368,119525,737786,259050,40016
10000,random,5,0,239489,119717,738412,259434,40016
100000,random,1,19,3059789,1528983,9377544,3257966,400016
100000,random,2,11,3060526,1529608,9380268,3259216,400016
100000,random,3,13,3059561,1528389,9375900,3256778,400016
10000,reversed,1,6,226666,106699,686730,233398,40016
10000,reversed,2,1,226693,106695,686776,233390,40016
10000,reversed,3,1,226695,106698,686786,233396,40016
10000,reversed,4,1,226729,106698,686854,233396,40016
10000,reversed,5,1,226665,106676,686682,233352,40016
10000,sorted,1,7,325896,217218,1106228,454436,40016
10000,sorted,2,1,325901,217216,1106234,454432,40016
10000,sorted,3,1,325912,217233,1106290,454466,40016
10000,sorted,4,1,325900,217223,1106246,454446,40016
10000,sorted,5,0,325906,217212,1106236,454424,40016
